playerId,name,height,weight,dob,position,origin
2011716859, Cameron Guthrie,187,86,19-Aug-92,Midfield ,Calder Cannons
2017711451, Zach Guthrie,187,76,30-Jun-98,Defender  Midfield,Calder Cannons
2007724084, Tom Hawkins,198,103,21-Jul-88,Forward ,Melbourne Grammar
2008721800, Lachie Henderson,196,98,14-Dec-89,Defender ,Geelong Falcons
2018726120, Jack Henry,191,92,29-Aug-98,Defender ,Geelong Falcons
2006722851, Shaun Higgins,184,89,4-Mar-88,Midfield  Forward,Geelong Falcons
2021723612, Max Holmes,189,74,29-Aug-02,Midfield  Forward,Sandringham Dragons
2012743763, Josh Jenkins,200,108,8-Feb-89,Forward ,Frankston
2015755425, Jake Kolodjashnij,193,94,9-Aug-95,Defender ,Launceston
2021754613, Nathan Kreuger,196,88,25-Jun-99,Forward ,South Adelaide
2016776590, Sam Menegola,189,89,7-Mar-92,Midfield ,Subiaco
2019776865, Gryan Miers,178,78,30-Mar-99,Forward ,Geelong Falcons
2018788777, Quinton Narkle,181,80,3-Dec-97,Midfield ,Perth
2017798614, Mark OConnor,191,87,17-Jan-97,Defender  Midfield,Ireland
2017807670, Brandan Parfitt,180,79,27-Apr-98,Midfield  Forward,Nt Thunder
2018829920, Esava Ratugolea,197,102,24-Jul-98,Forward  Ruck,Murray Bushrangers
2010827761, Gary Rohan,189,92,7-Jun-91,Forward ,Geelong Falcons
2007835833, Joel Selwood,183,84,26-May-88,Midfield ,Bendigo
2017831987, Sam Simpson,180,68,14-Jun-98,Forward ,Geelong Falcons
2011833883, Isaac Smith,188,83,30-Dec-88,Midfield  Forward,North Ballarat Rebels
2010834704, Rhys Stanley,200,102,1-Dec-90,Ruck ,West Adelaide
2017836998, Tom Stewart,190,88,15-Mar-93,Defender ,Geelong Vfl
2011849258, Zach Tuohy,187,93,10-Dec-89,Defender  Midfield,"County Laois, Ireland"
2020651147, Lachie Ash,186,80,21-Jun-01,Defender  Midfield,Murray Bushrangers
2021665802, Kieren Briggs,200,103,6-Oct-99,Defender  Forward,Pennant Hills
2021667039, Callum Brown,188,91,15-Aug-00,Defender ,County Derry
2021661243, Tanner Bruhn,183,74,27-May-02,Midfield ,Geelong Falcons
2020666559, Jack Buckley,193,87,17-Dec-97,Midfield  Forward,Swans Academy
2012664999, Matt Buntine,189,84,19-Oct-93,Defender  Forward,Dandenong Stingrays
2012675967, Stephen Coniglio,182,86,15-Dec-93,Midfield ,Swan Districts
2018671956, Isaac Cumming,184,83,11-Aug-98,Defender ,Broken Hill
2018682126, Brent Daniels,170,74,9-Mar-99,Forward ,Bendigo Pioneers
2010684139, Phil Davis,197,96,30-Aug-90,Defender ,North Adelaide
2017708800, Jeremy Finlayson,196,93,9-Feb-96,Forward ,Hills Eagles
2021706816, Matt Flynn,200,103,13-Sep-97,Ruck ,Narrandera
2020719374, Tom Green,188,85,23-Jan-01,Midfield ,GWS Giants Academy
2012717773, Toby Greene,182,83,25-Sep-93,Forward ,Oakleigh Chargers
2012726893, Nick Haynes,193,90,18-May-92,Defender ,Dandenong Stingrays
2019723393, Bobby Hill,175,66,9-Feb-00,Forward ,Perth
2016723009, Harry Himmelberg,194,92,8-May-96,Forward ,Mangoplah Cookardinia United Eastlakes
2015723350, Jesse Hogan,195,100,12-Feb-95,Forward ,Claremont
2016727433, Jacob Hopper,187,87,6-Feb-97,Midfield ,North Ballarat Rebels
2019735732, Connor Idun,191,91,29-Jul-00,Defender ,Geelong Falcons
2011752234, Lachlan Keeffe,204,102,14-Apr-90,Defender ,Queensland Under 18s
2014752713, Josh Kelly,184,83,12-Feb-95,Midfield  Forward,Sandringham Dragons
2012758114, Adam Kennedy,182,80,12-Jul-92,Midfield ,Western Jets
2017765543, Daniel Lloyd,187,85,18-Feb-92,Forward ,Killarney Vale
2008773839, Shane Mumford,197,105,5-Jul-86,Ruck ,Geelong
2020795814, Xavier OHalloran,186,84,11-Jul-00,Midfield ,Western Jets
2021802858, James Peatling,182,73,21-Aug-00,Defender  Midfield,GWS Giants Academy
2017805026, Harry Perryman,184,80,19-Dec-98,Midfield ,Collingullie
2008827999, Sam Reid,188,85,7-Nov-89,Defender ,Uws Giants
2020827511, Jake Riccardi,195,92,7-Nov-99,Forward ,Werribee Tigers
2018835317, Nick Shipley,188,95,25-Jun-99,Midfield ,GWS Giants Academy
2019834419, Zach Sproule,197,92,12-May-98,Forward ,Albury
2019837061, Jake Stein,195,95,17-Jan-94,Defender ,Penrith
2021833557, Conor Stone,188,81,22-Apr-02,Forward ,Oakleigh Chargers
2017848621, Tim Taranto,187,87,28-Jan-98,Midfield ,Sandringham Dragons
2018845175, Sam Taylor,196,93,5-May-99,Defender ,Swan Districts
2008879369, Callan Ward,187,84,10-Apr-90,Midfield ,Western Jets
2013873745, Lachie Whitfield,187,81,18-Jul-94,Defender  Midfield,Dandenong Stingrays
20091002045, Matt de Boer,189,87,10-Mar-90,Midfield ,Claremont
2021668904, Lachlan Bramble,182,75,19-Apr-98,Midfield  Forward,Box Hill
2011663064, Luke Breust,184,84,11-Nov-90,Forward ,Temora
2021662446, Tyler Brockman,181,75,22-Nov-02,Midfield  Forward,Subiaco
2002669287, Shaun Burgoyne,186,89,21-Oct-82,Defender  Forward,Port Adelaide
